Level,Date,State Postal Code,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Month
State,3/22/2022,MA,"93,976","12,148","27,567",3
State,3/22/2022,CO,"142,523","34,683","62,676",3
State,3/22/2022,VA,"222,115","47,072","24,079",3
State,3/22/2022,MD,"115,094","24,143","17,503",3
State,3/22/2022,KY,"148,576","21,261","8,979",3
State,3/22/2022,WV,"62,193","7,067","1,621",3
State,3/22/2022,NC,"321,671","57,252","25,019",3
State,3/22/2022,MN,"187,099","24,392","31,832",3
State,3/22/2022,CA,"861,805","236,633","135,927",3
State,3/22/2022,MO,"235,088","35,043","20,923",3
State,3/22/2022,SC,"149,349","30,306","13,043",3
State,3/22/2022,WI,"215,724","28,341","20,565",3
State,3/22/2022,NJ,"137,960","29,046","28,544",3
State,3/22/2022,HI,"8,396","1,826","5,830",3
State,3/22/2022,LA,"161,490","28,231","10,858",3
State,3/22/2022,RI,"12,385","2,300","3,264",3
State,3/22/2022,MI,"251,409","45,541","33,103",3
State,3/22/2022,GA,"325,632","95,538","40,651",3
State,3/22/2022,SD,"43,153","5,509","2,663",3
State,3/22/2022,NY,"444,263","69,919","77,668",3
State,3/22/2022,ID,"58,975","11,502","5,908",3
State,3/22/2022,AL,"146,107","34,837","7,563",3
State,3/22/2022,PA,"313,296","40,723","26,982",3
State,3/22/2022,NV,"75,277","27,546","16,724",3
State,3/22/2022,FL,"485,586","107,545","173,539",3
State,3/22/2022,TN,"176,545","48,656","21,584",3
State,3/22/2022,MT,"47,586","5,499","4,249",3
State,3/22/2022,IL,"320,943","84,155","71,741",3
State,3/22/2022,AK,"12,390","6,198","5,519",3
State,3/22/2022,OR,"121,779","17,515","16,927",3
State,3/22/2022,WA,"169,518","20,935","42,368",3
State,3/22/2022,DC,"7,286","5,141","5,403",3
State,3/22/2022,TX,"873,218","208,332","122,268",3
State,3/22/2022,AR,"121,519","18,574","5,832",3
State,3/22/2022,IN,"182,635","34,689","22,587",3
State,3/22/2022,ME,"32,644","2,813","2,328",3
State,3/23/2022,MO,"233,736","34,029","21,424",3
State,3/23/2022,AL,"144,091","35,545","7,893",3
State,3/23/2022,AK,"14,502","7,531","5,755",3
State,3/23/2022,AZ,"221,380","52,067","53,853",3
State,3/23/2022,AR,"116,360","18,164","5,881",3
State,3/23/2022,CA,"922,701","261,685","145,299",3
State,3/23/2022,CO,"152,866","36,776","65,687",3
State,3/23/2022,CT,"40,226","6,585","10,115",3
State,3/23/2022,DE,"21,745","1,701","1,453",3
State,3/23/2022,DC,"6,561","4,949","5,180",3
State,3/23/2022,FL,"482,662","106,939","176,009",3
State,3/23/2022,GA,"315,133","94,283","39,230",3
State,3/23/2022,HI,"10,104","2,122","6,533",3
State,3/23/2022,ID,"62,039","11,756","6,062",3
State,3/23/2022,IL,"313,018","85,124","73,542",3
State,3/23/2022,IN,"175,725","33,434","22,865",3
State,3/23/2022,IA,"122,168","15,197","8,845",3
State,3/23/2022,KS,"106,903","20,660","10,553",3
State,3/23/2022,KY,"144,816","20,440","8,779",3
State,3/23/2022,LA,"163,996","28,604","10,899",3
State,3/23/2022,ME,"32,345","2,564","2,218",3
State,3/23/2022,MD,"115,663","24,788","16,942",3
State,3/23/2022,MA,"90,535","12,280","26,958",3
State,3/23/2022,MI,"243,577","45,625","32,704",3
State,3/23/2022,MN,"190,820","25,610","33,141",3
State,3/23/2022,MS,"105,775","24,855","5,043",3
State,3/23/2022,MT,"48,246","5,701","4,403",3
State,3/23/2022,NE,"62,323","7,270","6,311",3
State,3/23/2022,NV,"79,262","29,254","17,484",3
State,3/23/2022,NH,"23,516","1,584","3,162",3
State,3/23/2022,NJ,"137,865","28,280","27,765",3
State,3/23/2022,NM,"112,922","29,566","6,607",3
State,3/23/2022,NY,"436,221","66,985","76,769",3
State,3/23/2022,NC,"315,372","56,164","24,111",3
State,3/23/2022,ND,"35,869","5,704","2,047",3
State,3/23/2022,OH,"243,057","44,621","34,051",3
State,3/23/2022,OK,"129,431","18,585","8,586",3
State,3/23/2022,OR,"128,250","18,944","18,338",3
State,3/23/2022,PA,"309,392","39,915","26,374",3
State,3/23/2022,RI,"11,699","2,365","3,174",3
State,3/23/2022,SC,"147,811","30,117","12,804",3
State,3/23/2022,SD,"41,990","5,318","2,835",3
State,3/23/2022,TN,"174,138","47,881","21,957",3
State,3/23/2022,TX,"866,071","212,437","124,647",3
State,3/23/2022,UT,"95,711","29,262","16,135",3
State,3/23/2022,VT,"13,406","1,880","1,765",3
State,3/23/2022,VA,"219,614","46,676","22,679",3
State,3/23/2022,WA,"178,328","22,125","46,277",3
State,3/23/2022,WV,"60,841","7,017","1,569",3
State,3/23/2022,WI,"215,805","28,159","21,551",3
State,3/23/2022,WY,"33,929","4,272","2,091",3
State,3/24/2022,TX,"917,255","226,306","132,652",3
State,3/24/2022,OK,"135,126","19,919","9,040",3
State,3/24/2022,NM,"112,805","30,109","6,658",3
State,3/24/2022,DE,"23,088","1,749","1,550",3
State,3/24/2022,TN,"183,448","50,940","23,848",3
State,3/24/2022,NE,"65,195","7,760","6,522",3
State,3/24/2022,IL,"327,490","87,872","77,715",3
State,3/24/2022,DC,"7,133","5,438","5,493",3
State,3/24/2022,OR,"130,641","19,324","18,706",3
State,3/24/2022,MS,"110,295","26,977","5,183",3
State,3/24/2022,SD,"43,945","5,501","2,887",3
State,3/24/2022,WI,"223,341","29,346","22,838",3
State,3/24/2022,MO,"238,290","35,708","22,693",3
State,3/24/2022,ID,"64,708","12,156","6,177",3
State,3/24/2022,NV,"79,767","28,425","18,401",3
State,3/24/2022,PA,"322,112","41,620","28,655",3
State,3/24/2022,LA,"170,722","29,621","11,472",3
State,3/24/2022,FL,"518,815","116,296","171,414",3
State,3/24/2022,SC,"154,851","32,251","13,158",3
State,3/24/2022,AZ,"226,820","51,968","51,859",3
State,3/24/2022,HI,"10,009","2,172","6,299",3
State,3/24/2022,AK,"12,196","7,244","6,134",3
State,3/24/2022,RI,"11,371","2,605","3,417",3
State,3/24/2022,NY,"454,642","70,618","81,808",3
State,3/24/2022,GA,"337,048","101,763","41,936",3
State,3/24/2022,MD,"122,883","25,665","18,884",3
State,3/24/2022,AR,"122,966","19,063","6,083",3
State,3/24/2022,VA,"232,320","49,251","25,247",3
State,3/24/2022,WA,"183,469","23,006","46,805",3
State,3/24/2022,KY,"148,337","21,382","9,292",3
State,3/24/2022,WY,"36,046","4,357","2,238",3
State,3/24/2022,NC,"333,534","60,114","26,170",3
State,3/24/2022,NJ,"144,961","30,016","29,791",3
State,3/24/2022,AL,"152,368","38,387","8,256",3
State,3/24/2022,CA,"933,707","268,660","146,063",3
State,3/24/2022,NH,"24,539","1,668","3,335",3
State,3/24/2022,KS,"111,840","21,573","11,119",3
State,3/24/2022,WV,"61,376","7,267","1,776",3
State,3/24/2022,ND,"37,551","6,033","2,120",3
State,3/24/2022,MN,"198,030","26,578","35,537",3
State,3/24/2022,VT,"13,830","2,010","1,917",3
State,3/24/2022,CO,"160,482","37,049","67,623",3
State,3/24/2022,MT,"49,936","5,885","4,534",3
State,3/24/2022,IA,"128,544","16,024","9,306",3
State,3/24/2022,MA,"94,685","12,502","29,345",3
State,3/24/2022,OH,"251,631","48,400","36,630",3
State,3/24/2022,ME,"32,587","2,645","2,403",3
State,3/24/2022,UT,"99,262","31,337","16,869",3
State,3/24/2022,CT,"40,668","7,476","10,837",3
State,3/24/2022,MI,"251,487","47,062","35,716",3
State,3/24/2022,IN,"182,542","34,906","24,447",3
State,3/25/2022,AL,"151,282","37,288","7,748",3
State,3/25/2022,NH,"24,816","1,548","3,216",3
State,3/25/2022,MD,"125,584","26,637","17,827",3
State,3/25/2022,NJ,"150,230","29,440","28,505",3
State,3/25/2022,ME,"32,374","2,525","2,298",3
State,3/25/2022,AZ,"226,421","52,179","53,237",3
State,3/25/2022,NM,"116,341","29,387","6,376",3
State,3/25/2022,LA,"170,129","29,353","11,155",3
State,3/25/2022,NY,"453,333","69,653","78,931",3
State,3/25/2022,KY,"146,629","19,875","8,533",3
State,3/25/2022,NC,"331,952","58,130","25,053",3
State,3/25/2022,KS,"110,656","21,272","10,428",3
State,3/25/2022,ND,"39,853","6,010","2,025",3
State,3/25/2022,IA,"129,240","15,720","8,591",3
State,3/25/2022,WV,"60,379","7,042","1,647",3
State,3/25/2022,OH,"243,032","47,067","34,484",3
State,3/25/2022,IN,"180,293","34,563","22,565",3
State,3/25/2022,OK,"133,046","19,266","8,230",3
State,3/25/2022,IL,"326,476","86,828","74,004",3
State,3/25/2022,OR,"131,244","19,370","18,128",3
State,3/25/2022,ID,"63,867","12,161","6,023",3
State,3/25/2022,AK,"12,747","7,296","5,810",3
State,3/25/2022,PA,"313,917","40,513","26,734",3
State,3/25/2022,HI,"9,344","2,220","6,262",3
State,3/25/2022,RI,"11,475","2,538","3,375",3
State,3/25/2022,GA,"332,953","97,414","40,283",3
State,3/25/2022,WY,"36,702","4,203","2,164",3
State,3/25/2022,SC,"154,277","30,694","12,892",3
State,3/25/2022,FL,"498,958","110,039","177,465",3
State,3/25/2022,SD,"45,032","5,409","2,722",3
State,3/25/2022,DC,"6,985","5,267","5,088",3
State,3/25/2022,WI,"228,358","28,607","20,591",3
State,3/25/2022,TN,"181,960","48,620","22,024",3
State,3/25/2022,DE,"22,728","1,709","1,521",3
State,3/25/2022,TX,"919,040","218,692","122,952",3
State,3/25/2022,CT,"40,208","7,313","10,337",3
State,3/25/2022,UT,"104,484","31,240","16,293",3
State,3/25/2022,CO,"162,031","37,750","64,910",3
State,3/25/2022,MA,"97,037","12,280","27,625",3
State,3/25/2022,VT,"13,658","2,023","1,685",3
State,3/25/2022,CA,"961,102","267,179","143,036",3
State,3/25/2022,VA,"229,113","48,300","23,763",3
State,3/25/2022,AR,"124,591","18,574","5,435",3
State,3/25/2022,MO,"245,982","35,537","21,125",3
State,3/25/2022,MS,"110,787","25,069","4,771",3
State,3/25/2022,MT,"51,659","5,917","4,568",3
State,3/25/2022,MN,"205,292","26,342","32,484",3
State,3/25/2022,NE,"66,494","7,700","6,199",3
State,3/25/2022,MI,"252,950","49,473","34,490",3
State,3/25/2022,WA,"185,241","22,756","46,030",3
State,3/25/2022,NV,"82,506","29,293","19,028",3
State,3/26/2022,NH,"24,864","1,681","3,197",3
State,3/26/2022,TX,"954,289","218,560","116,011",3
State,3/26/2022,CT,"43,699","7,697","10,012",3
State,3/26/2022,MT,"50,325","5,882","4,153",3
State,3/26/2022,IN,"195,331","35,504","22,236",3
State,3/26/2022,AL,"155,324","38,315","7,542",3
State,3/26/2022,OH,"253,993","48,752","34,016",3
State,3/26/2022,MN,"217,044","26,471","31,203",3
State,3/26/2022,UT,"111,175","30,170","15,427",3
State,3/26/2022,CO,"162,157","36,746","58,793",3
State,3/26/2022,NV,"78,262","27,896","17,143",3
State,3/26/2022,IA,"135,373","15,841","8,108",3
State,3/26/2022,NJ,"160,848","30,229","27,873",3
State,3/26/2022,ND,"40,965","6,145","1,924",3
State,3/26/2022,AZ,"220,049","51,653","47,403",3
State,3/26/2022,VT,"13,967","1,799","1,697",3
State,3/26/2022,CA,"996,765","265,709","131,346",3
State,3/26/2022,MD,"137,466","27,494","17,578",3
State,3/26/2022,KS,"115,206","20,940","9,927",3
State,3/26/2022,NC,"351,999","60,063","24,653",3
State,3/26/2022,KY,"152,142","19,450","8,861",3
State,3/26/2022,WA,"189,989","21,849","41,647",3
State,3/26/2022,VA,"242,207","49,077","23,131",3
State,3/26/2022,AR,"123,943","18,779","5,318",3
State,3/26/2022,NE,"71,543","7,885","6,114",3
State,3/26/2022,GA,"346,570","97,482","39,911",3
State,3/26/2022,NY,"477,446","71,526","76,519",3
State,3/26/2022,RI,"12,368","2,603","3,091",3
State,3/26/2022,LA,"176,797","29,795","11,255",3
State,3/26/2022,HI,"8,818","1,948","5,260",3
State,3/26/2022,MI,"264,934","51,835","34,922",3
State,3/26/2022,SC,"160,373","30,992","12,532",3
State,3/26/2022,FL,"525,745","111,013","167,293",3
State,3/26/2022,MO,"254,980","36,042","19,991",3
State,3/26/2022,PA,"333,872","40,944","25,874",3
State,3/26/2022,ID,"65,245","12,099","5,593",3
State,3/26/2022,OR,"130,502","18,470","16,471",3
State,3/26/2022,MS,"114,408","24,428","4,765",3
State,3/26/2022,SD,"46,015","5,711","2,618",3
State,3/26/2022,DC,"7,733","5,718","5,212",3
State,3/26/2022,MA,"102,559","12,700","26,844",3
State,3/26/2022,AK,"13,616","5,953","5,191",3
State,3/26/2022,NM,"117,729","29,623","6,029",3
State,3/26/2022,IL,"343,312","88,830","71,808",3
State,3/26/2022,WY,"36,157","4,194","2,081",3
State,3/26/2022,TN,"188,237","49,069","21,035",3
State,3/26/2022,DE,"24,011","1,860","1,483",3
State,3/26/2022,ME,"32,819","2,652","2,229",3
State,3/26/2022,OK,"139,568","18,825","7,835",3
State,3/26/2022,WI,"239,572","29,066","19,916",3
State,3/26/2022,WV,"61,054","6,814","1,628",3
State,3/27/2022,OK,"141,442","19,089","7,542",3
State,3/27/2022,WV,"64,938","6,782","1,469",3
State,3/27/2022,IN,"192,165","33,762","20,728",3
State,3/27/2022,ME,"34,138","2,452","1,986",3
State,3/27/2022,TX,"975,185","216,030","110,913",3
State,3/27/2022,DC,"7,933","5,119","4,555",3
State,3/27/2022,NY,"478,639","67,444","67,302",3
State,3/27/2022,OR,"137,642","18,448","16,069",3
State,3/27/2022,AZ,"241,572","52,091","48,171",3
State,3/27/2022,IL,"346,074","86,155","68,759",3
State,3/27/2022,MI,"264,616","47,729","32,834",3
State,3/27/2022,TN,"193,490","48,474","20,352",3
State,3/27/2022,FL,"552,461","110,390","157,722",3
State,3/27/2022,MT,"51,614","5,526","3,849",3
State,3/27/2022,PA,"336,575","39,690","23,650",3
State,3/27/2022,WI,"235,707","27,597","18,424",3
State,3/27/2022,ID,"67,200","11,394","5,325",3
State,3/27/2022,MO,"262,831","34,572","18,858",3
State,3/27/2022,SD,"46,768","5,705","2,440",3
State,3/27/2022,GA,"350,173","97,239","35,984",3
State,3/27/2022,NV,"83,846","29,012","16,760",3
State,3/27/2022,RI,"12,348","2,276","2,879",3
State,3/27/2022,HI,"9,955","2,079","5,490",3
State,3/27/2022,SC,"163,851","30,048","11,552",3
State,3/27/2022,LA,"182,764","28,688","10,350",3
State,3/27/2022,AL,"159,572","39,129","7,173",3
State,3/27/2022,MN,"213,686","25,895","29,662",3
State,3/27/2022,WA,"193,856","21,979","40,884",3
State,3/27/2022,CA,"1,050,192","273,113","129,293",3
State,3/27/2022,NH,"25,745","1,609","2,971",3
State,3/27/2022,NC,"355,221","58,319","22,490",3
State,3/27/2022,AR,"127,869","18,019","4,958",3
State,3/27/2022,KY,"155,929","19,043","8,056",3
State,3/27/2022,MD,"138,409","26,434","15,936",3
State,3/27/2022,VA,"246,591","48,093","20,736",3
State,3/27/2022,CO,"166,579","36,068","57,416",3
State,3/27/2022,NM,"120,348","28,307","5,739",3
State,3/27/2022,ND,"40,247","5,573","1,766",3
State,3/27/2022,WY,"36,998","4,095","1,988",3
State,3/27/2022,KS,"117,475","20,527","9,381",3
State,3/27/2022,MA,"101,203","12,133","23,893",3
State,3/27/2022,VT,"14,003","1,779","1,516",3
State,3/27/2022,CT,"43,934","7,264","9,133",3
State,3/27/2022,NE,"69,992","7,473","5,661",3
State,3/27/2022,OH,"252,123","47,391","32,202",3
State,3/27/2022,AK,"15,676","5,506","5,134",3
State,3/27/2022,IA,"135,031","15,252","7,693",3
State,3/27/2022,MS,"115,470","24,901","4,472",3
State,3/27/2022,UT,"111,040","30,704","14,175",3
State,3/27/2022,DE,"24,096","1,717","1,292",3
State,3/27/2022,NJ,"167,789","29,927","25,539",3
State,3/28/2022,NH,"23,889","1,533","3,343",3
State,3/28/2022,MI,"246,819","46,150","37,848",3
State,3/28/2022,NV,"78,069","27,748","17,841",3
State,3/28/2022,MN,"184,637","24,696","34,221",3
State,3/28/2022,NE,"61,419","7,161","6,432",3
State,3/28/2022,MS,"104,054","24,309","4,735",3
State,3/28/2022,MT,"47,751","5,620","4,307",3
State,3/28/2022,MO,"229,520","34,104","21,292",3
State,3/28/2022,WA,"176,710","22,120","44,492",3
State,3/28/2022,CA,"898,061","261,172","135,836",3
State,3/28/2022,WY,"34,246","4,281","2,228",3
State,3/28/2022,VA,"217,004","46,158","23,596",3
State,3/28/2022,CO,"150,229","35,150","61,360",3
State,3/28/2022,VT,"13,118","1,703","1,694",3
State,3/28/2022,CT,"37,790","6,588","10,011",3
State,3/28/2022,UT,"93,008","29,897","15,996",3
State,3/28/2022,DE,"21,962","1,646","1,466",3
State,3/28/2022,AK,"12,989","8,641","6,055",3
State,3/28/2022,TX,"857,885","207,483","123,803",3
State,3/28/2022,DC,"6,860","4,757","5,105",3
State,3/28/2022,TN,"170,716","47,617","22,312",3
State,3/28/2022,FL,"477,983","107,068","164,006",3
State,3/28/2022,SD,"42,443","5,377","2,669",3
State,3/28/2022,GA,"310,621","92,222","38,856",3
State,3/28/2022,SC,"145,264","29,478","12,462",3
State,3/28/2022,HI,"9,399","2,148","5,931",3
State,3/28/2022,WI,"209,616","27,415","20,633",3
State,3/28/2022,RI,"11,871","2,090","3,087",3
State,3/28/2022,ID,"58,304","11,224","6,044",3
State,3/28/2022,PA,"307,156","37,851","26,466",3
State,3/28/2022,IL,"314,730","84,209","77,168",3
State,3/28/2022,OR,"123,416","18,411","17,510",3
State,3/28/2022,IN,"175,681","32,910","23,290",3
State,3/28/2022,AZ,"212,128","51,154","49,213",3
State,3/28/2022,OK,"128,649","18,155","8,401",3
State,3/28/2022,IA,"123,218","15,123","8,693",3
State,3/28/2022,OH,"239,249","46,513","36,302",3
State,3/28/2022,KS,"107,645","19,940","10,429",3
State,3/28/2022,AL,"143,926","37,191","8,051",3
State,3/28/2022,ND,"35,189","5,721","2,108",3
State,3/28/2022,KY,"146,616","20,448","8,983",3
State,3/28/2022,NC,"311,173","57,040","24,962",3
State,3/28/2022,LA,"167,595","28,778","11,931",3
State,3/28/2022,WV,"61,563","7,088","1,728",3
State,3/28/2022,NY,"403,571","64,116","72,343",3
State,3/28/2022,ME,"31,778","2,511","2,222",3
State,3/28/2022,NM,"106,657","28,394","6,207",3
State,3/28/2022,MD,"111,532","23,941","17,386",3
State,3/28/2022,NJ,"136,200","27,959","28,082",3
State,3/28/2022,MA,"86,829","11,699","26,379",3
State,3/28/2022,AR,"114,775","16,858","5,418",3
State,3/29/2022,OK,"131,272","18,200","8,104",3
State,3/29/2022,MS,"108,587","24,188","4,723",3
State,3/29/2022,DE,"22,574","1,881","1,466",3
State,3/29/2022,UT,"100,271","30,535","15,251",3
State,3/29/2022,NM,"117,919","28,178","6,194",3
State,3/29/2022,IA,"127,939","14,941","8,259",3
State,3/29/2022,AZ,"224,684","52,159","51,508",3
State,3/29/2022,OH,"236,572","46,282","35,529",3
State,3/29/2022,NH,"24,333","1,516","3,301",3
State,3/29/2022,CT,"37,795","6,794","9,746",3
State,3/29/2022,VT,"13,453","1,780","1,710",3
State,3/29/2022,NE,"63,586","7,444","6,333",3
State,3/29/2022,KS,"111,312","20,423","10,156",3
State,3/29/2022,WY,"36,449","4,259","2,136",3
State,3/29/2022,ND,"38,173","5,828","2,041",3
State,3/29/2022,MA,"90,346","12,015","26,054",3
State,3/29/2022,CO,"160,050","36,716","60,705",3
State,3/29/2022,VA,"222,685","47,627","23,510",3
State,3/29/2022,MD,"118,445","25,223","17,178",3
State,3/29/2022,KY,"146,948","19,146","8,994",3
State,3/29/2022,WV,"60,753","6,706","1,609",3
State,3/29/2022,NC,"325,290","57,557","24,894",3
State,3/29/2022,MN,"198,611","25,775","33,010",3
State,3/29/2022,CA,"965,952","273,988","147,490",3
State,3/29/2022,MO,"245,283","34,426","20,232",3
State,3/29/2022,SC,"148,491","29,842","12,718",3
State,3/29/2022,WI,"218,458","27,796","19,644",3
State,3/29/2022,NJ,"139,592","28,645","28,002",3
State,3/29/2022,HI,"9,598","1,981","5,905",3
State,3/29/2022,LA,"169,560","29,147","11,572",3
State,3/29/2022,RI,"12,048","2,296","3,026",3
State,3/29/2022,MI,"253,268","48,031","36,848",3
State,3/29/2022,GA,"324,148","92,952","39,638",3
State,3/29/2022,SD,"44,332","5,291","2,657",3
State,3/29/2022,NY,"424,310","65,441","73,858",3
State,3/29/2022,ID,"61,351","11,526","5,802",3
State,3/29/2022,AL,"145,726","36,881","7,982",3
State,3/29/2022,PA,"310,821","38,398","26,093",3
State,3/29/2022,NV,"80,731","28,389","18,070",3
State,3/29/2022,FL,"486,194","104,558","168,464",3
State,3/29/2022,TN,"178,012","47,936","21,633",3
State,3/29/2022,MT,"49,632","6,204","4,394",3
State,3/29/2022,IL,"328,585","86,355","75,104",3
State,3/29/2022,AK,"15,292","5,841","5,885",3
State,3/29/2022,OR,"124,544","17,917","16,816",3
State,3/29/2022,WA,"177,849","21,711","44,931",3
State,3/29/2022,DC,"7,069","5,083","5,148",3
State,3/29/2022,TX,"893,481","209,102","118,839",3
State,3/29/2022,AR,"115,889","17,488","5,109",3
State,3/29/2022,IN,"177,609","33,329","22,764",3
State,3/29/2022,ME,"32,709","2,393","2,151",3
State,3/30/2022,MO,"242,744","34,960","20,105",3
State,3/30/2022,AL,"148,413","37,994","7,976",3
State,3/30/2022,AK,"12,881","6,617","5,354",3
State,3/30/2022,AZ,"206,394","48,838","49,139",3
State,3/30/2022,AR,"118,972","17,298","4,988",3
State,3/30/2022,CA,"941,429","267,610","145,248",3
State,3/30/2022,CO,"147,760","34,683","58,254",3
State,3/30/2022,CT,"37,736","6,937","10,168",3
State,3/30/2022,DE,"22,736","1,730","1,415",3
State,3/30/2022,DC,"6,964","4,884","5,151",3
State,3/30/2022,FL,"485,286","105,834","166,045",3
State,3/30/2022,GA,"322,640","94,517","39,657",3
State,3/30/2022,HI,"8,532","1,830","5,255",3
State,3/30/2022,ID,"58,309","11,493","5,697",3
State,3/30/2022,IL,"327,331","86,468","75,009",3
State,3/30/2022,IN,"178,208","34,125","22,408",3
State,3/30/2022,IA,"125,035","15,077","8,169",3
State,3/30/2022,KS,"109,562","20,226","9,941",3
State,3/30/2022,KY,"148,133","19,589","9,048",3
State,3/30/2022,LA,"168,084","28,446","10,895",3
State,3/30/2022,ME,"31,545","2,360","2,170",3
State,3/30/2022,MD,"116,907","25,000","17,454",3
State,3/30/2022,MA,"88,146","11,738","25,810",3
State,3/30/2022,MI,"255,545","48,230","38,051",3
State,3/30/2022,MN,"189,045","24,627","32,290",3
State,3/30/2022,MS,"106,750","24,175","4,678",3
State,3/30/2022,MT,"48,382","5,966","4,220",3
State,3/30/2022,NE,"62,233","7,450","6,204",3
State,3/30/2022,NV,"74,151","25,825","16,919",3
State,3/30/2022,NH,"24,641","1,575","3,241",3
State,3/30/2022,NJ,"142,644","28,356","27,465",3
State,3/30/2022,NM,"111,800","27,615","5,800",3
State,3/30/2022,NY,"426,947","64,661","73,216",3
State,3/30/2022,NC,"322,676","57,599","24,853",3
State,3/30/2022,ND,"36,659","5,478","1,954",3
State,3/30/2022,OH,"243,234","47,930","35,653",3
State,3/30/2022,OK,"130,246","18,535","7,963",3
State,3/30/2022,OR,"118,759","16,853","16,200",3
State,3/30/2022,PA,"313,139","38,144","25,955",3
State,3/30/2022,RI,"11,378","2,308","3,024",3
State,3/30/2022,SC,"150,254","29,650","12,565",3
State,3/30/2022,SD,"42,877","5,342","2,588",3
State,3/30/2022,TN,"179,431","47,985","21,367",3
State,3/30/2022,TX,"873,048","207,367","117,556",3
State,3/30/2022,UT,"97,487","29,481","15,207",3
State,3/30/2022,VT,"13,251","1,838","1,732",3
State,3/30/2022,VA,"219,305","47,078","23,339",3
State,3/30/2022,WA,"174,601","20,734","42,411",3
State,3/30/2022,WV,"61,904","6,738","1,658",3
State,3/30/2022,WI,"214,326","27,766","19,634",3
State,3/30/2022,WY,"34,248","4,040","2,099",3
State,3/31/2022,TX,"835,545","197,400","116,071",3
State,3/31/2022,OK,"126,335","17,506","7,817",3
State,3/31/2022,NM,"105,775","26,024","5,814",3
State,3/31/2022,DE,"21,156","1,712","1,301",3
State,3/31/2022,TN,"169,094","46,479","21,217",3
State,3/31/2022,NE,"59,271","6,896","6,031",3
State,3/31/2022,IL,"313,335","81,007","74,199",3
State,3/31/2022,DC,"6,514","4,488","4,734",3
State,3/31/2022,OR,"115,661","17,515","16,469",3
State,3/31/2022,MS,"102,172","22,532","4,467",3
State,3/31/2022,SD,"40,036","5,127","2,623",3
State,3/31/2022,WI,"201,780","25,853","19,310",3
State,3/31/2022,MO,"227,051","32,856","19,472",3
State,3/31/2022,ID,"59,633","11,275","5,683",3
State,3/31/2022,NV,"72,984","26,432","16,968",3
State,3/31/2022,PA,"292,931","37,277","24,451",3
State,3/31/2022,LA,"158,407","26,476","10,720",3
State,3/31/2022,FL,"461,789","100,956","158,548",3
State,3/31/2022,SC,"140,008","27,875","11,890",3
State,3/31/2022,AZ,"211,062","48,685","51,226",3
State,3/31/2022,HI,"8,980","1,957","5,708",3
State,3/31/2022,AK,"12,439","6,616","5,348",3
State,3/31/2022,RI,"11,029","2,122","2,875",3
State,3/31/2022,NY,"399,160","63,093","68,306",3
State,3/31/2022,GA,"305,125","90,593","36,566",3
State,3/31/2022,MD,"109,843","23,646","15,829",3
State,3/31/2022,AR,"109,614","16,101","5,000",3
State,3/31/2022,VA,"208,136","44,951","21,659",3
State,3/31/2022,WA,"171,015","21,166","44,193",3
State,3/31/2022,KY,"139,818","18,941","8,480",3
State,3/31/2022,WY,"33,626","3,998","2,149",3
State,3/31/2022,NC,"307,627","54,988","23,247",3
State,3/31/2022,NJ,"134,552","26,578","25,773",3
State,3/31/2022,AL,"141,083","36,288","7,933",3
State,3/31/2022,CA,"899,190","253,690","140,314",3
State,3/31/2022,NH,"23,051","1,504","3,149",3
State,3/31/2022,KS,"104,635","19,326","9,832",3
State,3/31/2022,WV,"58,988","6,457","1,540",3
State,3/31/2022,ND,"33,660","5,191","1,851",3
State,3/31/2022,MN,"181,843","23,707","31,479",3
State,3/31/2022,VT,"12,585","1,692","1,659",3
State,3/31/2022,CO,"146,348","33,902","58,953",3
State,3/31/2022,MT,"45,467","5,727","4,175",3
State,3/31/2022,IA,"115,775","14,069","7,978",3
State,3/31/2022,MA,"83,458","11,285","23,769",3
State,3/31/2022,OH,"224,762","44,656","34,090",3
State,3/31/2022,ME,"29,494","2,316","2,077",3
State,3/31/2022,UT,"96,354","30,126","15,116",3
State,3/31/2022,CT,"36,250","6,621","9,548",3
State,3/31/2022,MI,"240,725","44,451","37,367",3
State,3/31/2022,IN,"164,972","33,054","22,388",3
State,4/1/2022,AL,"149,281","37,116","8,190",4
State,4/1/2022,NH,"24,462","1,645","3,221",4
State,4/1/2022,MD,"120,089","25,619","16,727",4
State,4/1/2022,NJ,"143,246","29,285","27,107",4
State,4/1/2022,ME,"31,902","2,485","2,207",4
State,4/1/2022,AZ,"206,536","51,304","49,979",4
State,4/1/2022,NM,"106,633","27,453","5,919",4
State,4/1/2022,LA,"168,280","28,540","11,159",4
State,4/1/2022,NY,"427,493","70,197","70,820",4
State,4/1/2022,KY,"154,385","21,074","9,161",4
State,4/1/2022,NC,"331,943","58,293","24,965",4
State,4/1/2022,KS,"112,937","20,544","10,232",4
State,4/1/2022,ND,"36,729","5,953","1,898",4
State,4/1/2022,IA,"125,664","15,294","8,279",4
State,4/1/2022,WV,"61,626","7,024","1,599",4
State,4/1/2022,OH,"246,693","48,586","35,228",4
State,4/1/2022,IN,"179,554","35,359","23,366",4
State,4/1/2022,OK,"135,078","18,566","7,980",4
State,4/1/2022,IL,"332,870","86,153","76,437",4
State,4/1/2022,OR,"122,163","16,933","16,354",4
